Characteristic Name,Method Speciation,Sample Fraction,Parameter,Region,Publisher,Guideline Name,Status,Media Name,Ecosystem,Protection Level,Value,Unit,Notes,Look-up table ,Documentation/Spec Sheet Url,Citation,Reviewer,Last Reviewed
Phenanthrene,,,Phenanthrene,CA-QC,QC Gov,,Approved,Water,Marine,Acute,0.0077,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Phenanthrene,,,Phenanthrene,CA-QC,QC Gov,,Approved,Water,Marine,Chronic,0.0046,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Phenol,,,Phenol (hydroxybenzene),CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,3.4,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Phenol,,,Phenol (hydroxybenzene),CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.45,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Diphenyl ether,,,Phenoxybenzene,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.026,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Diphenyl ether,,,Phenoxybenzene,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.0029,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Phenytoin,,,Phenytoin,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,1.1,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Phenytoin,,,Phenytoin,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.12,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Picloram,,,Picloram,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.29,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Picloram,,,Picloram,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.029,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Potassium permanganate,,,Potassium permanganate,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.029,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Isopropanol,,,Propan-2-ol,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,500,mg/L,57,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Propylene glycol,,,"Propane-1,2-diol",CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,1000,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Propylene glycol,,,"Propane-1,2-diol",CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,500,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Pyrethrins,,,Pyrethrum,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.00001,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
,,,Rimsulfuron,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.0046,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
,,,S-methoprene,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.026,mg/L,Chronic value protecting all life forms including mosquitoes = 0.00009 mg/L,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
,,,S-methoprene,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.00053,mg/L,Chronic value protecting all life forms including mosquitoes = 0.00009 mg/L,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Selenium,,Total,Selenium,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.062,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Selenium,,Total,Selenium,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.005,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Selenium,,Total,Selenium,CA-QC,QC Gov,,Approved,Water,Marine,Acute,0.3,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Selenium,,Total,Selenium,CA-QC,QC Gov,,Approved,Water,Marine,Chronic,0.071,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Selenium,,Dissolved,Selenium,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.00499,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Selenium,,Dissolved,Selenium,CA-QC,QC Gov,,Approved,Water,Marine,Chronic,0.0709,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Silver,,Total,Silver,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,{e^{1.72[ln(hardness)]-6.52} \over 2},ug/L,,Appendix 12,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,MK,2020-12-18
Silver,,Total,Silver,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.1,ug/L,CCMRE - Canadian Council of Resource and Environment Ministers (CCMRE) - 1987 - Canadian Water Quality Guidelines - Prepared by the Water Quality Guidelines Working Group of the Canadian Council of Resource Ministers and of the environment,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,MK,2020-12-18
Silver,,Total,Silver,CA-QC,QC Gov,,Approved,Water,Marine,Acute,1.15,ug/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,MK,2020-12-18
Silver,,Dissolved,Silver,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,{0.85e^{1.72[ln(hardness)]-6.52} \over 2},ug/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,MK,2020-12-18
Silver,,Dissolved,Silver,CA-QC,QC Gov,,Approved,Water,Marine,Acute,0.9775,ug/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,MK,2020-12-18
Simazine,,,Simazine,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.16,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Simazine,,,Simazine,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.01,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
,,,Sodium azide,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.065,mg/L,"MDEQ - Michigan Department of Environmental Quality (MDEQ) - 2008 - Rule 57 Water Quality Values - Surface Water Quality Assessment Section, MDEQ, 5 p, 2008-12-18",,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,MK,2020-12-18
,,,Sodium azide,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.0073,mg/L,"MDEQ - Michigan Department of Environmental Quality (MDEQ) - 2008 - Rule 57 Water Quality Values - Surface Water Quality Assessment Section, MDEQ, 5 p, 2008-12-19",,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,MK,2020-12-18
,,,Spinosad,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.54,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
,,,Spinosad,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.06,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Strontium,,,Strontium,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,40,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Strontium,,,Strontium,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,21,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
,,,Styphnic acid,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,340,mg/L,"SERT - Toxic Discharge Assessment Service (SERT) - 1990 - Technical note on styphnic acid, sodium azide, trans-1,2-dichloroethene, morpholine, phenol and thiocyanates - Aquatic Ecosystems Department, Ministry of Quebec Environment, Quebec",,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,MK,2020-12-18
,,,Styphnic acid,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,15,mg/L,"SERT - Toxic Discharge Assessment Service (SERT) - 1990 - Technical note on styphnic acid, sodium azide, trans-1,2-dichloroethene, morpholine, phenol and thiocyanates - Aquatic Ecosystems Department, Ministry of Quebec Environment, Quebec",,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,MK,2020-12-18
Styrene,,,Styrene,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,1.4,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Styrene,,,Styrene,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.072,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Sulfite,,,Sulfites,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.2,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Tetrachloroethane,,,Tetrachloroethane,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,1.4,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Tetrachloroethane,,,Tetrachloroethane,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.11,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Carbon tetrachloride,,,Tetrachloromethane,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.69,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Carbon tetrachloride,,,Tetrachloromethane,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.077,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Tetrahydrofuran,,,Tetrahydrofuran,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,74,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Tetrahydrofuran,,,Tetrahydrofuran,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,11,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Thallium,,,Thallium,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.047,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Thallium,,,Thallium,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.0072,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Thiamethoxam,,,Thiamethoxam (neonicotinoid),CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.0002,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Thiamethoxam,,,Thiamethoxam (neonicotinoid),CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.0000083,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
,,,Thiocyanates,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,2.1,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
,,,Thiocyanates,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.09,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Toluene,,,Toluene,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,1.3,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Toluene,,,Toluene,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.002,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Toluene,,,Toluene,CA-QC,QC Gov,,Approved,Water,Marine,Chronic,0.2,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
,,,Tosylchloramide sodium,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.19,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
,,,Tosylchloramide sodium,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.0084,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"Total Phosphorus, mixed forms",as P,Unfiltered,Total phosphorus,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.03,mg/L,This quality criterion aims to limit excessive algae / aquatic plant growth in streams and rivers,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Toxaphene,,,Toxaphene,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.00015,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Toxaphene,,,Toxaphene,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.000005,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Toxaphene,,,Toxaphene,CA-QC,QC Gov,,Approved,Water,Marine,Acute,0.00021,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
,,,"trans-1,2-dichloroethene",CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,14,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
,,,"trans-1,2-dichloroethene",CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,1.5,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Triallate,,,Triallate,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.00024,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Tribromomethane,,,Tribromomethane,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,1.5,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Tribromomethane,,,Tribromomethane,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.065,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Trichloroethane,,,Trichloroethane,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,1.8,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Trichloroethane,,,Trichloroethane,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.021,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Chloroform,,,Trichloromethane,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,5.7,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Chloroform,,,Trichloromethane,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.63,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Chloroform,,,Trichloromethane,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,5.7,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Chloroform,,,Trichloromethane,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.63,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Triclosan,,,Triclosan,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.025,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Triclosan,,,Triclosan,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.00047,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
,,,Triethylamine,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,1.1,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
,,,Triethylamine,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.26,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Triphenyl phosphate,,,Triphenyl phosphate,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.04,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Triphenyl phosphate,,,Triphenyl phosphate,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.004,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Uranium,,,Uranium,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,if (20 ≤ hardness ≤ 100) \{ 0.32 \} else if (100 < hardness ≤ 210) \{ 2.3 \},mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Uranium,,,Uranium,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,if (20 ≤ hardness ≤ 100) \{ 0.014 \} else if (100 < hardness ≤ 210) \{ 0.1 \},mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Vanadium,,,Vanadium,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.11,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Vanadium,,,Vanadium,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.012,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Vinyl acetate,,,Vinyl acetate,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.75,mg/L,"SERT - Toxic Discharge Assessment Service (SERT) - 1992 - Technical Note on vinyl acetate, ethanol, 2-, 3- and 4- nitrotoluenes and sulphates - Aquatic Ecosystems Department, Ministry of 'Environment of Quebec, Quebec",,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,MK,2020-12-18
Vinyl acetate,,,Vinyl acetate,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.033,mg/L,"SERT - Toxic Discharge Assessment Service (SERT) - 1992 - Technical Note on vinyl acetate, ethanol, 2-, 3- and 4- nitrotoluenes and sulphates - Aquatic Ecosystems Department, Ministry of 'Environment of Quebec, Quebec",,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,MK,2020-12-18
"o-Xylene, mixt. with m-xylene and p-xylene",,,"Xylenes (o,m,p mix)",CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.37,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
"o-Xylene, mixt. with m-xylene and p-xylene",,,"Xylenes (o,m,p mix)",CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.041,mg/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Zinc,,Total,Zinc,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,e^{0.8473[ln(hardness)]+0.884},ug/L,,Appendix 12,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Zinc,,Total,Zinc,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,e^{0.8473[ln(hardness)]+0.884},ug/L,,Appendix 12,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Zinc,,Total,Zinc,CA-QC,QC Gov,,Approved,Water,Marine,Acute,95,ug/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Zinc,,Total,Zinc,CA-QC,QC Gov,,Approved,Water,Marine,Chronic,86,ug/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Zinc,,Dissolved,Zinc,CA-QC,QC Gov,,Approved,Water,Freshwater,Acute,0.978e^{0.8473[ln(hardness)]+0.884},ug/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Zinc,,Dissolved,Zinc,CA-QC,QC Gov,,Approved,Water,Freshwater,Chronic,0.986e^{0.8473[ln(hardness)]+0.884},ug/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Zinc,,Dissolved,Zinc,CA-QC,QC Gov,,Approved,Water,Marine,Acute,89.87,ug/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Zinc,,Dissolved,Zinc,CA-QC,QC Gov,,Approved,Water,Marine,Chronic,81.356,ug/L,,,http://www.environnement.gouv.qc.ca/eau/criteres_eau/,,,
Pentachlorobenzene,,,Pentachlorobenzene,"CA,CA-AB,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,6,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/159/,,,
Pentachlorophenol,,,Pentachlorophenol,"CA,CA-AB,CA-SK,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,0.5,ug/L,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=58,,,
Permethrin,,,Permethrin,"CA,CA-AB,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,0.004,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/202/,,,
Permethrin,,,Permethrin,"CA,CA-AB,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Marine,Chronic,0.001,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/202/,,,
pH,,,pH,"CA,CA-QC,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,"[6.5,9]",,,,http://ceqg-rcqe.ccme.ca/download/en/203/,,,
pH,,,pH,"CA,CA-QC,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Marine,Chronic,"[7,8.7]",,,,http://ceqg-rcqe.ccme.ca/download/en/203/,,,
"pH, lab",,,pH,"CA,CA-QC,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,"[6.5,9]",,,,http://ceqg-rcqe.ccme.ca/download/en/203/,,,
"pH, lab",,,pH,"CA,CA-QC,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Marine,Chronic,"[7,8.7]",,,,http://ceqg-rcqe.ccme.ca/download/en/203/,,,
Phenanthrene,,,Phenanthrene,"CA,CA-AB,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,0.4,ug/L,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=191,,,
Diazinon,,,Diazinon,"US,CA-AB",USEPA,WQC,Approved,Water,Freshwater,Acute,0.17,ug/L,Averaging period is 4d for long-term and 1hr for short-term,,https://www.epa.gov/sites/production/files/2019-03/documents/ambient-wqc-diazinon-final.pdf,,,
Diazinon,,,Diazinon,"US,CA-AB",USEPA,WQC,Approved,Water,Freshwater,Chronic,0.17,ug/L,Averaging period is 4d for long-term and 1hr for short-term,,https://www.epa.gov/sites/production/files/2019-03/documents/ambient-wqc-diazinon-final.pdf,,,
Diazinon,,,Diazinon,"US,CA-AB",USEPA,WQC,Approved,Water,Marine,Acute,0.82,ug/L,Averaging period is 4d for long-term and 1hr for short-term,,https://www.epa.gov/sites/production/files/2019-03/documents/ambient-wqc-diazinon-final.pdf,,,
Diazinon,,,Diazinon,"US,CA-AB",USEPA,WQC,Approved,Water,Marine,Chronic,0.82,ug/L,Averaging period is 4d for long-term and 1hr for short-term,,https://www.epa.gov/sites/production/files/2019-03/documents/ambient-wqc-diazinon-final.pdf,,,
Phenols,,Total,Phenols (mono- & dihydric),"CA,CA-AB,CA-SK,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,4,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/204/,,,
Phenanthrene,,",Total",Phenanthrene,CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,0.03,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
"2,4-D",,,Phenoxy herbicides,"CA,CA-AB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,4,ug/L,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=165,,,
Phenol,,",Total",Phenol,CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,5,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Phenols,,",Total",Phenols,CA-ON,ON Gov,,Approved,Water,Freshwater,Chronic,1,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Dieldrin,,,Dieldrin,US,USEPA,WQC,Approved,Water,Freshwater,Acute,0.24,ug/L,,,https://www.epa.gov/sites/production/files/2019-03/documents/1995-updates-wqc-protection-al.pdf,,,
Dieldrin,,,Dieldrin,US,USEPA,WQC,Approved,Water,Freshwater,Chronic,0.056,ug/L,,,https://www.epa.gov/sites/production/files/2019-03/documents/1995-updates-wqc-protection-al.pdf,,,
Dieldrin,,,Dieldrin,US,USEPA,WQC,Approved,Water,Marine,Acute,0.71,ug/L,,,https://www.epa.gov/sites/production/files/2019-03/documents/1995-updates-wqc-protection-al.pdf,,,
Dieldrin,,,Dieldrin,US,USEPA,WQC,Approved,Water,Marine,Chronic,0.0019,ug/L,,,https://www.epa.gov/sites/production/files/2019-03/documents/1995-updates-wqc-protection-al.pdf,,,
Picloram,,,Picloram,"CA,CA-AB,CA-SK,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,29,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/207/,,,
Propylene glycol,,,Propylene glycol,"CA,CA-AB,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,500000,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/181/,,,
,,",Total",Phenylxylylethane,CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,0.02,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Pyrene,,,Pyrene,"CA,CA-AB,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,0.025,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/201/,,,
Total PCBs,,",Total",Polychlorinated biphenyls (Total PCBs),CA-ON,ON Gov,,Approved,Water,Freshwater,Chronic,0.001,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
,,",Total",Polychlorinated naphthalenes,CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,0.0002,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
,,",Total",Propyl diphenyl,CA-ON,ON Gov,,Interim,Water,Freshwater,Chronic,0.1,ug/L,,,https://www.ontario.ca/page/water-management-policies-guidelines-provincial-water-quality-objectives,,MK,2020-12-16
Endrin,,,Endrin,US,USEPA,WQC,Approved,Water,Freshwater,Acute,0.086,ug/L,,,https://www.epa.gov/sites/production/files/2019-03/documents/1995-updates-wqc-protection-al.pdf,,,
Endrin,,,Endrin,US,USEPA,WQC,Approved,Water,Freshwater,Chronic,0.036,ug/L,,,https://www.epa.gov/sites/production/files/2019-03/documents/1995-updates-wqc-protection-al.pdf,,,
Endrin,,,Endrin,US,USEPA,WQC,Approved,Water,Marine,Acute,0.037,ug/L,,,https://www.epa.gov/sites/production/files/2019-03/documents/1995-updates-wqc-protection-al.pdf,,,
Endrin,,,Endrin,US,USEPA,WQC,Approved,Water,Marine,Chronic,0.0023,ug/L,,,https://www.epa.gov/sites/production/files/2019-03/documents/1995-updates-wqc-protection-al.pdf,,,
Quinoline,,,Quinoline,"CA,CA-AB,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,3.4,ug/L,,,http://ceqg-rcqe.ccme.ca/download/en/201/,,,
