Characteristic Name,Method Speciation,Sample Fraction,Parameter,Region,Guideline Publisher,Guideline Name,Status,Media Name,Freshwater or Marine,Guideline Type,Value,Unit,Notes,Look-up table ,Spec Sheet Url,Last Reviewed,Reviewer
Zinc,,Total,Zinc,"CA-BC,CA-YT",BC Gov,,Approved,Water,Marine,Chronic,10,µg/L,,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/wqg_summary_aquaticlife_wildlife_agri.pdf,,
Acenaphthene,,,Acenaphthene,"CA,CA-AB,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,5.8,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/201/,,
Anthracene,,,Anthracene,"CA,CA-AB,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,0.012,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/201/,,
Arsenic,,Total,Arsenic,"CA,CA-AB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,5,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/143/,,
Arsenic,,Total,Arsenic,"CA,CA-AB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Marine,Chronic,12.5,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/143/,,
Benz[a]anthracene,,,Benz(a)anthracene,"CA,CA-AB,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,0.018,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/201/,,
Benzo[a]pyrene,,,Benz(a)pyrene,"CA,CA-AB,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,0.015,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/201/,,
Cadmium,,Total,Cadmium,"CA,CA-AB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Acute,if (hardness < 5.3) \{ 0.11 \} else if (360 < hardness) \{ 7.7 \} else \{ 10^{1.016[log(hardness)]-1.71} \},µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/148/,,
Cadmium,,Total,Cadmium,"CA,CA-AB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,if (0 < hardness < 17) \{ 0.04 \} else if (280 < hardness) \{ 0.37 \} else \{ 10^(0.83(log(hardness))-2.46) \},µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/148/,,
Cadmium,,Total,Cadmium,"CA,CA-AB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Marine,Chronic,0.12,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/148/,,
Copper,,Total,Copper,"CA,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,if (hardness < 82) \{ 2 \} else if (82 ≤ hardness ≤ 180) \{ 0.2e^{0.8545[ln(hardness)]-1.465} \} else if (180 < hardness) \{ 4 \} else \{ 2 \},µg/L,,,http://st-ts.ccme.ca/en/index.html?factsheet=71,,
Fluoranthene,,,Fluoranthene,"CA,CA-AB,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,0.04,µg/L,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=186,,
Fluorene,,,Fluorene,"CA,CA-AB,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,3,µg/L,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=187,,
Lindane,,Total,Hexachlorocyclohexane,"CA,CA-AB,CA-SK,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,0.01,µg/L,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=125,,
Lead,,Total,Lead,"CA,CA-AB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,if (hardness ≤ 60) \{ 1 \} else if (180 < hardness) \{ 7 \} else \{ e^{1.273[ln(hardness)]-4.705} \},µg/L,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=124,,
Mercury,,Total,Mercury,"CA,CA-SK,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,0.026,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/191/,,
Mercury,,Total,Mercury,"CA,CA-SK,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Marine,Chronic,0.016,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/191/,,
Naphthalene,,,Naphthalene,"CA,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,1.1,µg/L,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=190,,
Naphthalene,,,Naphthalene,"CA,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Marine,Chronic,1.4,µg/L,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=190,,
Nonylphenol,,,Nonylphenol and its ethoxylates,"CA,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,1,µg/L,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/report/sector-specific-tools-calculate-emissions/list-nonylphenol-ethoxylates.html,,http://ceqg-rcqe.ccme.ca/download/en/198/,,
Nonylphenol,,,Nonylphenol and its ethoxylates,"CA,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Marine,Chronic,0.7,µg/L,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/report/sector-specific-tools-calculate-emissions/list-nonylphenol-ethoxylates.html,,http://ceqg-rcqe.ccme.ca/download/en/198/,,
Phenanthrene,,,Phenanthrene,"CA,CA-AB,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,0.4,µg/L,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=191,,
Pyrene,,,Pyrene,"CA,CA-AB,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,0.025,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/201/,,
Zinc,,Dissolved,Zinc,"CA,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Acute,if (0.3 ≤ DOC ≤ 17.3 ∧ 13.8 ≤ hardness ≤ 250.5) \{ e^{0.833[ln(hardness)]+0.240DOC+0.526} \} else \{ 37 \},µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/360/,,
Zinc,,Dissolved,Zinc,"CA,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,if (0.3 ≤ DOC ≤ 22.9 ∧ 23.4 ≤ hardness ≤ 399 ∧ 6.5 ≤ pH ≤ 8.13) \{ e^{0.947[ln(hardness)]-0.815pH+0.398[ln(DOC)]+4.625} \} else \{ 7 \},µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/360/,,
"1,1,2-Trichloroethane",,,"1,1,2-Trichloroethane","CA,CA-AB,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,21,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/161/,,
,,,"1,1,2,2-Tetrachloroethene","CA,CA-AB,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,110,µg/L,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=50,,
o-Dichlorobenzene,,,"1,2-Dichlorobenzene","CA,CA-AB,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,0.7,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/153/,,
o-Dichlorobenzene,,,"1,2-Dichlorobenzene","CA,CA-AB,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Marine,Chronic,42,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/153/,,
"1,2-Dichloroethane",,,"1,2-Dichloroethane","CA,CA-AB,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,100,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/160/,,
"1,2,3-Trichlorobenzene",,,"1,2,3-Trichlorobenzene","CA,CA-AB,CA-QC,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,8,µg/L,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=33,,
"1,2,3,4-Tetrachlorobenzene",,,"1,2,3,4-Tetrachlorobenzene","CA,CA-AB,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,1.8,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/158/,,
"1,2,4-Trichlorobenzene",,,"1,2,4-Trichlorobenzene","CA,CA-AB,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,24,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/157/,,
"1,2,4-Trichlorobenzene",,,"1,2,4-Trichlorobenzene","CA,CA-AB,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Marine,Chronic,5.4,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/157/,,
m-Dichlorobenzene,,,"1,3-Dichlorobenzene","CA,CA-AB,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,150,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/154/,,
p-Dichlorobenzene,,,"1,4-Dichlorobenzene","CA,CA-AB,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,26,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/155/,,
MCPA,,,2-methyl-4-chlorophenoxyacetic acid (MCPA),"CA,CA-AB,CA-QC,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,2.6,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/190/,,
MCPA,,,2-methyl-4-chlorophenoxyacetic acid (MCPA),"CA,CA-AB,CA-QC,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Marine,Chronic,4.2,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/190/,,
3-Iodo-2-propynyl butyl carbamate,,,3-Iodo-2-propynyl butyl carbamate,"CA,CA-AB,CA-QC,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,1.9,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/188/,,
Acridine,,,Acridine (substituted PAH),"CA,CA-AB,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,4.4,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/201/,,
Aldicarb,,Total,Aldicarb,"CA,CA-AB,CA-QC,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,1,µg/L,"Applies to the concentration of total aldicarb residues (comprising aldicarb, aldicarb sulphoxide (ASO), and aldicarb sulphone (ASO2)",,http://ceqg-rcqe.ccme.ca/download/en/140/,,
Aldicarb,,Total,Aldicarb,"CA,CA-AB,CA-QC,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Marine,Chronic,0.15,µg/L,"Applies to the concentration of total aldicarb residues (comprising aldicarb, aldicarb sulphoxide (ASO), and aldicarb sulphone (ASO2)",,http://ceqg-rcqe.ccme.ca/download/en/140/,,
Aluminum,,Total,Aluminum,"CA, CA-SK,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,if (pH < 6.5) \{ 5 \} else if (6.5 ≤ pH) \{ 100 \},µg/L,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=4,,
Ammonia,as N,Unfiltered,Ammonia (un-ionized),"CA,CA-AB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,0.016,mg/L,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=6,2020-09-15,MK
Ammonia,as NH3,Unfiltered,Ammonia (un-ionized),"CA,CA-AB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,0.019,mg/L,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=6,2020-09-15,MK
Aniline,,,Aniline,"CA,CA-AB,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,2.2,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/142/,,
Atrazine,,,Atrazine,"CA,CA-AB,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,1.8,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/144/,,
Benzene,,,Benzene,"CA,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,370,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/145/,,
Benzene,,,Benzene,"CA,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Marine,Chronic,110,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/145/,,
Boron,,Total,Boron,"CA,CA-AB,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Acute,29000,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/324/,,
Boron,,Total,Boron,"CA,CA-AB,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,1500,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/324/,,
Bromacil,,,Bromacil,"CA,CA-AB,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,5,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/146/,,
Bromoxynil,,,Bromoxynil,"CA,CA-AB,CA-SK,CA-QC,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,5,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/147/,,
Captan,,,Captan,"CA,CA-AB,CA-QC,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,1.3,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/149/,,
Carbamazepine,,,Carbamazepine,"CA,CA-AB,CA-QC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,10,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/358,,
Carbaryl,,,Carbaryl,"CA,CA-AB,CA-QC,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Acute,3.3,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/150/,,
Carbaryl,,,Carbaryl,"CA,CA-AB,CA-QC,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,0.2,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/150/,,
Carbaryl,,,Carbaryl,"CA,CA-AB,CA-QC,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Marine,Acute,5.7,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/150/,,
Carbaryl,,,Carbaryl,"CA,CA-AB,CA-QC,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Marine,Chronic,0.29,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/150/,,
Carbofuran,,,Carbofuran,"CA,CA-AB,CA-QC,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,1.8,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/151/,,
Chloride,,,Chloride,"CA,CA-AB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Acute,640,mg/L,Unit change to mg/l,,http://ceqg-rcqe.ccme.ca/download/en/337/,,
Chloride,,,Chloride,"CA,CA-AB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,120,mg/L,Unit change to mg/l,,http://ceqg-rcqe.ccme.ca/download/en/337/,,
Chlorothalonil,,,Chlorothalonil,"CA,CA-AB,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,0.18,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/163/,,
Chlorothalonil,,,Chlorothalonil,"CA,CA-AB,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Marine,Chronic,0.36,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/163/,,
Chlorpyrifos,,,Chlorpyrifos,"CA,CA-AB,CA-QC,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Acute,0.02,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/164/,,
Chlorpyrifos,,,Chlorpyrifos,"CA,CA-AB,CA-QC,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,0.002,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/164/,,
Chlorpyrifos,,,Chlorpyrifos,"CA,CA-AB,CA-QC,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Marine,Chronic,0.002,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/164/,,
Chromium(VI),,Total,"Chromium, hexavalent (Cr(VI))","CA,CA-AB,CA-ON,CA-SK,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,1,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/165/,,
Chromium(VI),,Total,"Chromium, hexavalent (Cr(VI))","CA,CA-AB,CA-ON,CA-SK,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Marine,Chronic,1.5,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/165/,,
Chromium(III),,Total,"Chromium, trivalent (Cr(III))","CA,CA-AB,CA-ON,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,8.9,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/165/,,
Chromium(III),,Total,"Chromium, trivalent (Cr(III))","CA,CA-AB,CA-ON,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Marine,Chronic,56,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/165/,,
Cyanazine,,,Cyanazine,"CA,CA-AB,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,2,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/167/,,
Cyanazine,,,Cyanazine,"CA,CA-AB,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Marine,Chronic,0.5,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/167/,,
Cyanide,as CN,Free Available,Cyanide,"CA,CA-SK,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,5,µg/L,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=73,,
Deltamethrin,,,Deltamethrin,"CA,CA-AB,CA-QC,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,0.0004,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/170/,,
Dibutyl phthalate,,,Di-n-butyl phthalate,"CA,CA-AB,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,19,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/206/,,
Di(2-ethylhexyl) phthalate,,,Di(2-ethylhexyl) phthalate,"CA,CA-AB,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,16,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/206/,,
Dicamba,,,Dicamba,"CA,CA-AB,CA-SK,CA-QC,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,10,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/171/,,
Methylene chloride,,,Dichloromethane,"CA,CA-AB,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,98.1,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/183/,,
Dichlorophenol,,,Dichlorophenols,"CA,CA-AB,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,0.2,µg/L,,,http://st-ts.ccme.ca/en/index.html?lang=en&factsheet=52,,
Diclofop-methyl,,,Diclofop-methyl,"CA,CA-AB,CA-SK,CA-QC,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,6.1,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/172/,,
Didecyl dimethyl ammonium chloride,,,Didecyl dimethyl ammonium chloride,"CA,CA-AB,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,1.5,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/168/,,
Diisopropanolamine,,,Diisopropanolamine,"CA,CA-AB,CA-QC,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,1600,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/175/,,
Dimethoate,,,Dimethoate,"CA,CA-AB,CA-SK,CA-QC,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,6.2,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/173/,,
Dinoseb,,,Dinoseb,"CA,CA-AB,CA-MB,CA-BC,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,0.05,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/174/,,
Endosulfan,,,Endosulfan,"CA,CA-AB,CA-QC,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Acute,0.06,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/327/,,
Endosulfan,,,Endosulfan,"CA,CA-AB,CA-QC,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,0.003,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/327/,,
Endosulfan,,,Endosulfan,"CA,CA-AB,CA-QC,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Marine,Acute,0.09,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/327/,,
Endosulfan,,,Endosulfan,"CA,CA-AB,CA-QC,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Marine,Chronic,0.002,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/327/,,
Ethylbenzene,,,Ethylbenzene,"CA,CA-AB,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Freshwater,Chronic,90,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/179/,,
Ethylbenzene,,,Ethylbenzene,"CA,CA-AB,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-PE,CA-YT",CCME,CEQG,Approved,Water,Marine,Chronic,25,µg/L,,,http://ceqg-rcqe.ccme.ca/download/en/179/,,
